stock price index 1,stock price index 2,silver price,oil price,platinum price,palladium price,gold price
422.03,326.175,19.64,75.34,88.6,209.31,167.87
150.29,67.01,30.64,34.96,165.07,73.02,160.29
242.77,138.72,16.3,9.26,88.14,83.0,119.34
200.1,99.9,18.3,34.59,132.15,80.46,118.38
476.3,399.05,21.93,53.97,86.79,175.42,168.33
158.34,69.63,23.38,32.56,142.49,66.28,141.63
209.8,110.13,15.66,11.67,92.84,51.6808,115.67
136.73,63.51,33.62,40.13,165.65,70.04,171.02
133.79,58.47,45.57,44.19,180.37,76.03,146.74
304.13,197.56,17.5,11.39,88.18,170.79,142.43
293.85,188.72,15.57,11.585,79.86,132.42,135.89
206.4,103.62,16.15,18.4,118.45,77.1,117.26
208.47,107.34,16.88,11.025,98.05,57.9985,119.04
167.39,75.02,19.68,37.3,137.46,69.96,124.13
125.98,54.82,30.38,38.95,173.8,79.07,137.71
213.15,110.02,16.92,19.84,111.8,75.6,116.08
144.09,68.92,34.33,34.11,162.88,62.76,171.89
440.34,366.28,24.44,50.35,98.95,250.05,169.61
126.58,55.11,29.04,37.8,170.62,75.16,134.37
253.27,186.93,14.0,4.515,69.44,223.0,152.25
109.04,43.9,16.17,36.38,151.12,41.95,105.96
197.35,95.64,20.49,37.79,145.78,86.18,127.0899
106.73,44.1,19.33,32.47,152.91,51.44,121.69
168.52,74.72,19.3,38.61,139.2,72.71,125.11
215.41,118.7,17.53,11.33,94.5,65.63,120.78
215.37,118.63,17.02,11.47,92.95,63.75,119.66
498.1,432.11,21.37,70.27,80.63,81.0,188.33
135.98,62.29,32.41,31.94,155.08,62.74,166.09
115.69,51.68,40.81,32.78,180.09,74.37,177.47
236.64,130.02,17.96,11.56,99.3,74.79,119.12
133.4,58.65,39.72,38.59,176.92,79.38,154.83
303.62,232.46,17.5,25.72,78.38,182.66,163.66
195.68,97.76,16.63,34.17,121.05,74.09,114.61
111.41,46.79,18.85,35.39,158.76,49.02,121.45
131.71,62.25,27.74,33.04,138.78,60.06,151.62
239.25,175.69,11.7,4.79,56.7,151.0,138.04
185.79,90.41,21.1,36.61,141.8,72.75,127.62
244.33,142.5,16.66,9.76,93.67,89.12,122.67
543.15,477.72,28.07,76.31,87.8,82.9,212.97
300.65,193.91,15.01,12.37,80.27,146.8202,132.4
325.06,219.64,17.28,11.16,92.71,211.61,147.66
517.38,440.33,26.5,76.07,89.84,87.65,216.95
197.65,97.13,20.3,37.59,144.0,85.48,124.83
270.15,167.33,15.58,11.4,78.27,128.58,124.5
243.77,143.74,17.2,9.4,90.37,81.71,121.65
195.99,92.735,20.56,39.29,140.95,79.48,126.85
264.07,153.49,15.41,11.27,85.79,96.32,118.49
184.75,87.27,19.52,36.5,136.98,74.46,124.59
130.8,59.54,31.95,37.8,152.51,66.93,162.01
133.94,63.62,27.23,35.19,140.9,58.69,149.46
201.38,100.32,18.86,35.13,136.92,84.92,122.15
413.13,308.54,21.52,68.4,90.96,153.39,174.41
292.74,186.53,14.31,15.85,78.66,100.57,113.42
300.04,193.82,15.94,11.57,80.96,144.38,134.47
226.02,120.44,15.48,11.64,86.46,63.06,108.56
207.78,110.33,15.93,9.84,94.25,54.63,117.74
128.0,55.01,34.18,40.36,168.44,70.28,136.97
297.44,190.13,14.85,11.86,77.05,148.99,132.14
291.09,223.62,14.9,21.08,72.34,177.06,160.42
552.42,479.15,27.64,79.51,88.17,84.28,221.73
521.23,446.3,23.65,77.94,84.05,93.08,201.64
216.72,118.92,19.39,10.49,101.25,67.11,127.65
117.74,51.52,24.03,35.6,167.94,57.94,134.28
138.63,66.38,31.54,39.04,156.2,64.98,159.43
206.72,106.26,16.73,10.75,100.6,56.41,120.98
449.51,358.62,22.04,64.61,94.61,207.49,170.11
136.02,63.6,35.09,41.53,168.38,69.93,171.7
200.14,99.52,19.16,34.8,137.69,85.86,122.74
239.04,146.08,14.28,9.49,74.89,115.8,120.02
516.97,441.5,23.97,75.9,85.88,100.23,200.35
141.18,68.34,30.57,35.73,149.93,63.26,161.64
178.14,85.42,19.49,34.59,138.02,70.31,120.95
308.75,201.13,16.29,11.96,82.0,160.09,137.43
206.61,104.52,16.66,18.49,116.5,75.0,117.07
201.59,103.6,17.42,11.22,94.89,53.34,126.68
176.63,83.01,22.25,35.39,143.4,72.84,129.77
401.89,306.59,18.95,78.45,82.81,193.0,163.64
293.09,185.22,13.8,14.99,78.2,98.86,113.49
184.28,90.1,21.7,36.69,139.96,72.34,128.99
285.38,216.17,14.81,4.145,73.75,206.27,158.57
266.5,165.89,16.02,14.18,86.7,92.0036,124.59
212.93,117.19,17.9,10.65,95.4,60.75,122.73
332.82,229.16,17.25,10.6,91.49,215.4,147.79
542.85,463.51,26.45,77.6,85.49,85.85,226.2
259.94,155.81,16.28,12.7,94.05,96.41,125.38
321.43,260.08,19.05,28.9,80.19,194.75,170.94
462.7,374.82,21.46,56.57,86.76,178.29,168.26
114.38,49.3,21.76,33.19,164.49,56.33,127.95
246.98,144.22,16.22,9.66,91.2,84.65,120.98
226.74,123.16,16.74,11.21,94.05,75.18,115.79
154.85,68.21,28.39,33.31,155.09,73.83,155.55
188.65,88.28,19.0,37.33,143.54,80.28,124.69
116.19,52.18,40.9,33.25,184.16,75.27,171.646
322.41,261.83,18.6,29.08,78.11,184.77,170.34
403.46,327.13,23.97,41.21,112.77,247.6,161.92
379.65,325.48,26.57,36.97,104.06,211.13,172.11
192.15,103.17,14.64,14.29,90.91,62.7,110.49
344.76,287.11,25.6,31.07,87.01,203.5,183.36
290.24,185.84,14.47,13.23,83.43,128.9,121.6
139.85,66.48,27.79,35.03,138.54,57.64,156.48
167.41,75.98,21.6,38.31,147.22,73.0,131.69
247.11,144.37,16.3,9.77,92.03,85.52,121.87
546.26,465.85,26.77,74.45,87.74,82.32,222.52
200.45,99.65,19.24,35.58,138.46,87.32,123.86
323.74,214.54,17.37,12.92,89.03,179.87,142.33
453.32,381.97,23.17,49.01,93.78,225.74,169.25
103.11,42.67,17.87,32.95,151.05,43.41,118.49
195.22,93.78,21.14,37.63,147.06,84.26,128.54
143.15,65.62,31.84,33.31,157.88,60.9,167.58
180.84,88.31,19.95,35.74,136.26,70.79,125.49
429.27,354.08,21.62,54.77,90.15,173.22,165.03
208.82,107.73,17.02,11.82,94.25,52.2,123.21
337.74,236.46,17.74,11.31,93.02,254.41,152.41
241.95,137.84,14.94,9.04,85.76,79.75,115.47
391.24,334.33,26.29,39.32,116.54,220.44,171.21
331.47,270.83,26.06,30.84,90.24,204.8,191.35
238.83,137.01,15.97,9.75,85.87,75.9,116.79
477.65,415.22,21.73,69.41,83.44,86.5,187.93
314.43,204.77,16.55,12.3,89.21,182.6,138.43
451.34,359.52,22.44,63.9,95.43,215.39,170.56
192.19,91.33,18.77,37.65,142.28,81.4,120.43
209.48,111.37,14.46,15.82,95.11,60.2,105.17
267.91,164.61,16.05,13.01,90.6,93.43,125.98
224.57,118.4,16.66,11.15,90.2,69.33,111.57
115.05,49.54,21.91,34.48,165.25,56.99,127.91
119.9,52.34,26.53,35.15,164.73,69.51,132.2
248.23,152.6,15.2,9.99,75.39,120.68,122.43
273.81,168.38,13.77,10.63,76.24,113.68,115.54
279.19,176.1,16.53,13.35,85.65,96.45,123.19
176.94,82.17,20.91,34.11,140.1,72.89,122.45
184.49,88.75,19.59,34.2,142.66,73.03,119.19
215.66,119.1,17.21,11.69,92.21,63.01,119.55
530.65,456.06,30.4,75.21,96.72,93.15,220.11
257.18,152.04,16.36,10.85,87.6,93.4,120.67
169.41,74.87,20.04,38.32,141.42,73.38,128.84
121.91,57.84,32.0,33.66,154.01,60.75,163.4
237.18,131.31,16.57,10.11,89.95,71.55,114.12
119.05,49.6,17.97,39.77,170.97,54.49,114.31
127.01,57.02,28.59,39.49,139.28,63.59,157.78
118.25,48.26,17.95,41.52,168.34,49.21,110.89
203.88,103.61,16.69,22.97,119.7,79.47,117.69
154.84,68.8899,28.34,32.59,155.55,72.62,153.23
446.95,375.27,21.97,79.36,83.34,112.64,177.49
391.05,296.0,20.55,81.29,84.61,178.34,169.9
167.42,78.72,21.76,36.79,135.62,68.14,127.64
278.11,171.98,15.47,12.0,78.9,140.14,125.5
189.96,102.19,13.94,9.8,84.3,48.148,106.54
217.19,114.76,19.6,10.1,107.1,67.05,128.03
271.17,166.88,15.92,14.53,85.85,92.75,122.54
205.91,109.3,15.13,9.68,94.31,55.0,117.64
119.02,48.77,18.24,41.57,171.62,50.9,113.64
184.58,89.87,20.98,36.64,141.42,72.32,128.2
212.16,116.635,17.12,11.42,90.13,61.49,120.03
208.55,109.21,16.87,10.75,98.95,58.54,117.89
244.83,143.11,16.97,9.4,94.6,89.07,124.36
256.86,159.33,15.2,10.81,76.28,125.84,122.09
283.51,179.18,14.97,12.38,80.79,151.7,123.38
463.42,387.94,21.02,50.64,84.8,146.91,166.15
368.21,309.85,24.99,32.28,95.72,218.68,174.49
135.44,63.24,27.12,32.8,139.16,57.47,154.21
213.24,110.18,17.13,19.96,112.15,75.88,115.89
129.41,60.97,28.05,31.7,139.71,60.37,157.5
422.59,335.05,26.82,47.34,110.02,265.34,177.87
402.2,304.62,18.0,77.02,80.2,195.98,161.86
208.45,107.93,15.77,20.2,107.4,72.07,112.82
119.36,52.15,26.32,35.28,164.28,67.73,132.088
194.45,106.0,13.68,9.3,81.3,47.3,104.72
426.67,354.28,22.59,63.08,95.05,129.5,182.34
343.71,287.25,22.91,28.07,79.59,218.71,178.92
207.75,107.17,17.39,11.4,94.75,51.75,122.38
224.48,119.86,15.69,11.75,86.4,64.36,110.29
515.68,440.26,26.9,81.67,89.77,96.92,219.8
307.59,200.35,17.19,11.92,87.5,167.0,139.85
105.11,43.67,17.62,30.98,148.82,43.06,117.36
298.17,192.1,18.13,11.46,89.84,145.55,141.94
441.18,366.55,22.35,72.76,85.11,117.99,176.1
460.02,368.9,23.3001,72.3,90.01,196.99,179.14
168.31,75.54,19.25,37.93,138.3,72.0,124.01
530.27,459.18,30.67,76.76,97.06,90.0,218.19
212.44,109.86,17.2,20.145,112.71,76.0,117.53
218.34,117.15,19.36,11.11,108.0,67.7,129.11
279.15,211.69,14.93,4.4,74.17,204.43,161.71
434.81,362.98,25.37,49.13,106.16,259.13,171.07
234.9,131.86,17.65,11.13,90.8,76.46,121.19
280.7,199.35,16.4,7.02,82.61,221.39,153.93
209.4,106.91,16.31,19.38,115.04,75.66,116.01
114.86,49.65,21.46,33.6,163.32,55.74,126.72
202.54,102.01,15.13,29.35,116.59,73.53,109.79
379.93,267.76,20.52,73.17,91.76,174.35,158.65
146.73,67.21,30.36,34.28,158.91,68.87,161.98
464.49,399.62,21.72,64.42,85.51,90.285,187.63
120.27,49.57,18.39,41.16,172.49,54.41,113.03
209.87,108.39,19.47,11.5,104.6,58.34,129.74
178.83,85.99,18.9,35.11,135.28,69.41,119.77
183.23,87.27,19.86,34.13,137.42,71.06,119.29
208.59,113.68,14.02,12.92,82.31,51.93,103.56
291.53,183.81,14.04,15.32,78.46,101.14,113.65
200.35,99.74,17.39,34.41,129.35,78.18,116.85
423.67,323.73,22.73,72.64,85.17,198.95,177.05
368.99,269.93,17.73,68.87,82.86,185.01,151.69
140.22,67.73,31.3,39.12,159.0,63.5,157.21
368.08,308.47,24.67,32.66,96.0,217.0,176.35
263.09,187.07,15.23,6.89,75.11,175.33,143.28
394.11,282.22,22.53,63.21,93.44,179.26,165.68
226.36,122.63,16.27,11.21,93.4,72.15,113.5
